title,category,description,passingScore,timeLimitMinutes,status,text,option1,option2,option3,option4,correctIndex,points,timeLimitSeconds
اسلامی معلومات,Islamic Studies,اسلامی علم کا جامع سوالنامہ - 100 سوالات,60,90,published,,,,,,,,
,,,,,,اسلام کے کتنے ارکان ہیں؟,تین,چار,پانچ,چھ,2,5,30
,,,,,,اسلام کا پہلا رکن کون سا ہے؟,نماز,روزہ,کلمہ شہادت,حج,2,5,30
,,,,,,ایمان کے کتنے ارکان ہیں؟,چار,پانچ,چھ,سات,2,5,30
,,,,,,فرض نمازیں کتنی ہیں؟,تین,چار,پانچ,چھ,2,5,30
,,,,,,فجر کی فرض رکعات کتنی ہیں؟,ایک,دو,تین,چار,1,5,30
,,,,,,ظہر کی فرض رکعات کتنی ہیں؟,دو,تین,چار,پانچ,2,5,30
,,,,,,عصر کی فرض رکعات کتنی ہیں؟,دو,تین,چار,پانچ,2,5,30
,,,,,,مغرب کی فرض رکعات کتنی ہیں؟,دو,تین,چار,پانچ,1,5,30
,,,,,,عشاء کی فرض رکعات کتنی ہیں؟,دو,تین,چار,پانچ,2,5,30
,,,,,,وضو کے فرائض کتنے ہیں؟,تین,چار,پانچ,چھ,1,5,30
,,,,,,قرآن پاک میں کتنے پارے ہیں؟,بیس,پچیس,تیس,پینتیس,2,5,30
,,,,,,قرآن پاک میں کتنی سورتیں ہیں؟,ایک سو دس,ایک سو بارہ,ایک سو چودہ,ایک سو سولہ,2,5,30
,,,,,,قرآن پاک کی سب سے لمبی سورت کون سی ہے؟,سورۃ آل عمران,سورۃ البقرہ,سورۃ النساء,سورۃ المائدہ,1,5,30
,,,,,,قرآن پاک کی سب سے چھوٹی سورت کون سی ہے؟,سورۃ الاخلاص,سورۃ الناس,سورۃ الکوثر,سورۃ الفلق,2,5,30
,,,,,,قرآن پاک کی پہلی سورت کون سی ہے؟,سورۃ البقرہ,سورۃ الکوثر,سورۃ الفاتحہ,سورۃ الناس,2,5,30
,,,,,,قرآن پاک میں تقریباً کتنی آیات ہیں؟,پانچ ہزار,چھ ہزار دو سو چھتیس,سات ہزار,آٹھ ہزار,1,5,30
,,,,,,آیۃ الکرسی کس سورت میں ہے؟,سورۃ آل عمران,سورۃ البقرہ,سورۃ النساء,سورۃ الانعام,1,5,30
,,,,,,قرآن پاک کس زبان میں نازل ہوا؟,فارسی,عبرانی,عربی,ترکی,2,5,30
,,,,,,قرآن پاک کا پہلا نازل شدہ کلمہ کون سا ہے؟,بسم اللہ,الحمد,اقرأ,قل,2,5,30
,,,,,,اللہ تعالیٰ کا کلام کون سی کتاب ہے؟,توریت,زبور,انجیل,قرآن,3,5,30
,,,,,,حضرت محمد ﷺ کی پیدائش کب ہوئی؟,569 عیسوی,570 عیسوی,571 عیسوی,572 عیسوی,1,5,30
,,,,,,حضرت محمد ﷺ کی وفات کب ہوئی؟,630 عیسوی,631 عیسوی,632 عیسوی,633 عیسوی,2,5,30
,,,,,,حضرت محمد ﷺ کے والد کا نام کیا تھا؟,عبداللہ,عبدالمطلب,ابوطالب,عبدالعزیز,0,5,30
,,,,,,حضرت محمد ﷺ کی والدہ کا نام کیا تھا؟,فاطمہ,خدیجہ,آمنہ,ہالہ,2,5,30
,,,,,,حضرت محمد ﷺ کو پہلی وحی کس غار میں آئی؟,غار ثور,غار حرا,غار کوہ طور,غار عمیق,1,5,30
,,,,,,زکٰوۃ کی شرح کتنی ہے؟,اڑھائی فیصد,پانچ فیصد,دس فیصد,بیس فیصد,0,5,30
,,,,,,رمضان المبارک اسلامی سال کا کتنواں مہینہ ہے؟,ساتواں,آٹھواں,نواں,دسواں,2,5,30
,,,,,,رمضان میں روزوں کی تعداد کتنی ہوتی ہے؟,20 سے 25,29 یا 30,30 یا 31,25 سے 31,1,5,30
,,,,,,لیلۃ القدر رمضان کے کس عشرے میں ہے؟,پہلے,دوسرے,تیسرے,تمام میں,2,5,30
,,,,,,سحری کس وقت ختم ہوتی ہے؟,سورج طلوع پر,فجر کی اذان پر,صبح صادق پر,مغرب پر,2,5,30
,,,,,,حج کس مہینے میں ادا کیا جاتا ہے؟,شوال,ذوالقعدہ,ذوالحجہ,محرم,2,5,30
,,,,,,عرفات میں وقوف کس دن ہوتا ہے؟,8 ذوالحجہ,9 ذوالحجہ,10 ذوالحجہ,11 ذوالحجہ,1,5,30
,,,,,,حج میں قربانی کس دن کی جاتی ہے؟,8 ذوالحجہ,9 ذوالحجہ,10 ذوالحجہ,11 ذوالحجہ,2,5,30
,,,,,,کعبہ کس شہر میں ہے؟,مدینہ,مکہ,طائف,جدہ,1,5,30
,,,,,,طواف کعبہ کتنے چکر لگانے سے مکمل ہوتا ہے؟,پانچ,چھ,سات,آٹھ,2,5,30
,,,,,,اسلام کے پہلے خلیفہ کون تھے؟,حضرت عمر,حضرت ابوبکر,حضرت علی,حضرت عثمان,1,5,30
,,,,,,اسلام کے دوسرے خلیفہ کون تھے؟,حضرت عمر,حضرت ابوبکر,حضرت علی,حضرت عثمان,0,5,30
,,,,,,اسلام کے تیسرے خلیفہ کون تھے؟,حضرت عمر,حضرت ابوبکر,حضرت علی,حضرت عثمان,3,5,30
,,,,,,اسلام کے چوتھے خلیفہ کون تھے؟,حضرت عمر,حضرت ابوبکر,حضرت علی,حضرت عثمان,2,5,30
,,,,,,غزوہ بدر کب ہوا؟,1 ہجری,2 ہجری,3 ہجری,4 ہجری,1,5,30
,,,,,,اسلام کی پہلی مسجد کون سی ہے؟,مسجد الحرام,مسجد النبوی,مسجد قبا,مسجد اقصیٰ,2,5,30
,,,,,,مسجد الحرام کہاں ہے؟,مدینہ,مکہ,طائف,جدہ,1,5,30
,,,,,,مسجد نبوی کہاں ہے؟,مکہ,مدینہ,طائف,جدہ,1,5,30
,,,,,,مسجد اقصیٰ کہاں ہے؟,مکہ,مدینہ,یروشلم,دمشق,2,5,30
,,,,,,حج میں رمی الجمرات کیا ہے؟,قربانی,پتھر مارنا,طواف,صفا مروہ,1,5,30
,,,,,,حضرت محمد ﷺ نے مکہ میں کتنے سال نبوت فرمائی؟,دس سال,بارہ سال,تیرہ سال,پندرہ سال,2,5,30
,,,,,,ہجرت مدینہ کب ہوئی؟,620 عیسوی,621 عیسوی,622 عیسوی,623 عیسوی,2,5,30
,,,,,,اسلامی سال کا پہلا مہینہ کون سا ہے؟,رجب,شعبان,محرم,صفر,2,5,30
,,,,,,اسلامی سال میں کتنے مہینے ہیں؟,دس,گیارہ,بارہ,تیرہ,2,5,30
,,,,,,اسلامی مہینہ کتنے دن کا ہوتا ہے؟,28 یا 29,29 یا 30,30 یا 31,31 یا 32,1,5,30
,,,,,,انبیاء کرام کی تعداد کتنی بیان کی جاتی ہے؟,ایک لاکھ,ایک لاکھ چوبیس ہزار,دو لاکھ,تین لاکھ,1,5,30
,,,,,,قرآن پاک میں کتنے انبیاء کا ذکر ہے؟,پچیس,تیس,پینتیس,چالیس,0,5,30
,,,,,,سب سے پہلے نبی کون ہیں؟,حضرت نوح,حضرت ابراہیم,حضرت آدم,حضرت موسیٰ,2,5,30
